Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"TAWAAFOQ (GB)",2014,GELDING,"Adrian Wintle",A:12,A:22,A:42,T:33,T:36,T:35
"TAWTHEEF (IRE)",2017,GELDING,"Patrick Chamings",A:29,A:53,A:53,T:36,T:53,A:51
"TAXMEIFYOUCAN (IRE)",2014,GELDING,"Keith Dalgleish",S:0,S:60,S:99,T:46,S:108,T:40
"TAYLORS THREE ROCK (IRE)",2016,FILLY,,H:0,H:0,A:x,H:x,H:x,H:x
"TAZAMAN (GB)",2017,GELDING,,A:57,T:64,T:64,T:64,T:59,A:59
"TAZKA (FR)",2015,FILLY,"Gary Moore",S:0,S:0,S:96,S:96,S:80,S:83
"TEA CLIPPER (IRE)",2015,GELDING,"Tom Lacey",H:57,S:147,S:147,S:135,S:139,S:120
"TEA FOR FREE (IRE)",2015,GELDING,"Charlie Longsdon",S:138,S:131,S:130,S:112,H:104,H:96
"TEA GARDEN (GB)",2018,FILLY,"Alex French",A:46,A:43,A:49,A:46,A:8,A:49
"TEA SEA (FR)",2020,COLT,"Tony Carroll",A:x,A:x,A:x,-,-,-
"TEA TIME ON MARS (GB)",2012,GELDING,,S:80,S:73,S:71,S:104,S:0,S:96
"TEAGARDEN JAZZ (GB)",2019,FILLY,,T:65,A:47,T:71,A:61,A:x,T:x
"TEAM ENDEAVOUR (GB)",2019,GELDING,"Ian Williams",T:11,A:38,T:x,A:x,A:x,-
"TEASING GEORGIA (IRE)",2016,FILLY,"Donald McCain",H:x,H:x,H:x,N:x,N:x,-
"TEASYWEASY (GB)",2019,GELDING,"J. R. Jenkins",T:17,T:26,A:21,T:36,T:31,A:36
"TEATIME TIPPLE (GB)",2020,GELDING,,T:35,T:61,T:51,T:0,T:x,T:x
"TECHNIQUE (GB)",2018,FILLY,,T:88,T:91,T:76,T:100,T:63,T:105
"TECHNO LADY (IRE)",2020,FILLY,"Richard Fahey",T:0,T:48,T:36,A:x,T:x,T:x
"TECHNOLOGICAL (GB)",2015,GELDING,,H:82,H:107,H:100,H:81,H:103,H:91
"TED'S FRIEND (IRE)",2016,GELDING,"Fergal O'Brien",H:116,H:116,H:103,S:103,S:95,H:115
"TEDDY BLUE (GER)",2018,GELDING,"Gary Moore",H:127,H:x,H:x,H:123,H:132,H:x
"TEDDY THE KNIGHT (GB)",2015,GELDING,"Adrian Wintle",H:0,H:0,H:77,H:x,H:x,H:x
"TEDDY'S PROFIT (IRE)",2019,GELDING,,T:34,T:53,T:17,T:59,T:44,T:x
"TEEKANA (GB)",2019,FILLY,"Mike Murphy & Michael Keady",A:47,A:46,A:39,A:45,A:61,A:x
"TEES SPIRIT (GB)",2018,GELDING,"Adrian Nicholls",T:99,T:90,T:89,T:84,T:77,T:71
"TEESCOMPONENTS LAD (GB)",2013,GELDING,"Gillian Boanas",H:129,H:128,H:132,H:119,H:133,H:125
"TEESCOMPONENTSTWO (GB)",2019,FILLY,"David & Nicola Barron",A:31,A:30,T:x,T:x,T:x,-
"TEL'ART (FR)",2014,GELDING,"Robbie Llewellyn",S:0,H:97,H:114,H:107,H:102,H:114
"TELE RED (GB)",2017,GELDING,,A:56,T:72,T:70,T:66,T:66,T:53
"TELEFINA (GB)",2018,FILLY,"Adam West",H:80,H:65,H:73,H:0,H:67,H:73
"TELEGRAM BOB (GB)",2018,GELDING,"Tim Easterby",H:0,H:x,H:x,H:x,N:x,-
"TELEMACHUS (GB)",2019,GELDING,,T:x,A:x,A:x,-,-,-
"TELHIMLISTEN (IRE)",2016,GELDING,"Jennie Candlish",H:51,H:x,H:x,H:x,-,-
"TELL'EM NOWT (GB)",2018,GELDING,,A:66,A:64,A:66,A:46,A:15,T:63
"TELLATELLER (IRE)",2020,COLT,,T:44,T:x,T:60,T:x,T:x,T:x
"TELLUS (GB)",2020,FILLY,"John Quinn",A:x,T:x,T:x,T:x,-,-
"TEMPER TRAP (GB)",2017,GELDING,,H:61,H:0,T:65,T:57,T:62,T:67
"TEMPLE BRUER (GB)",2018,GELDING,"Mike Murphy & Michael Keady",T:80,A:80,T:79,T:77,T:75,A:65
"TEMPLEHILLS (IRE)",2011,GELDING,"Nigel Twiston-Davies",S:50,S:111,S:101,S:112,S:104,S:0
"TEMPLIER (IRE)",2013,GELDING,"Sarah Humphrey",S:0,S:82,H:50,S:87,S:90,H:74
"TEMPORIZE (GB)",2019,GELDING,"Charlie Johnston",A:82,A:72,A:84,T:58,T:86,T:56
"TEMPUS (GB)",2016,GELDING,"Archie Watson",T:97,T:110,T:113,T:108,T:103,T:101
"TEMPUS FUGIT (GB)",2019,GELDING,,T:0,T:0,T:0,A:38,A:x,A:x
"TEMUR KHAN (GB)",2015,GELDING,,A:51,H:65,A:53,T:51,T:56,T:57
"TEN BOB NOTE (GB)",2020,COLT,"Declan Carroll",A:x,T:x,T:x,-,-,-
"TEN GS (IRE)",2017,FILLY,,S:72,H:63,S:65,H:58,H:x,H:x
"TEN PAST MIDNIGHT (GB)",2016,GELDING,"Martin Keighley",S:0,H:91,H:88,H:92,H:92,H:53
"TEN TEN TWENTY (IRE)",2018,GELDING,"D. J. Jeffreys",H:97,H:76,H:x,H:x,H:x,H:x
"TENACIOUSLY (GB)",2020,COLT,"William Muir & Chris Grassick",A:43,A:46,A:x,A:x,A:x,-
"TENAYA CANYON (GB)",2018,FILLY,,A:86,T:89,T:94,T:92,T:94,T:92
"TENDENTIOUS (GB)",2018,GELDING,"David O'Meara",T:49,T:62,T:73,T:69,T:25,T:72
"TENERIFE SUNSHINE (GB)",2020,COLT,"Charlie Johnston",T:84,T:x,T:x,-,-,-
"TENFOLD (IRE)",2017,GELDING,"Gary Moore",H:x,H:x,H:x,T:28,H:0,A:x
"TENJIN (GB)",2020,GELDING,"Marco Botti",A:82,A:85,A:x,A:82,A:79,T:x
"TENNESSEE DREAM (GB)",2020,FILLY,"Charles Hills",A:63,A:58,A:55,A:49,A:43,A:x
"TENSION TIME (IRE)",2014,GELDING,,H:x,H:x,H:x,H:x,H:x,H:x
"TENTH CENTURY (GB)",2018,GELDING,,A:0,T:24,T:39,A:47,A:41,A:47
"TEODOLINA (IRE)",2018,FILLY,,T:62,T:61,T:81,T:62,T:89,T:89
"TEPHI (IRE)",2020,FILLY,"George Boughey",A:58,A:57,A:73,T:x,T:x,T:x
"TEQUILA BLAZE (GB)",2014,FILLY,"Fergal O'Brien",H:100,S:111,H:0,H:118,H:120,H:118
"TEQUILAMOCKINGBIRD (GB)",2019,FILLY,"Charlie Fellowes",A:75,A:80,A:79,A:76,A:77,A:79
"TERESA GRACE (IRE)",2020,FILLY,"Declan Carroll",T:54,T:x,T:x,T:x,-,-
"TERMONATOR (GB)",2016,GELDING,"Grant Tuer",T:51,A:54,A:44,T:54,T:49,T:55
"TERRA MITICA (IRE)",2019,FILLY,,T:84,T:73,T:84,T:78,A:x,T:x
"TERRESITA (IRE)",2017,FILLY,"Lucy Wadham",H:116,H:117,H:116,H:x,H:119,H:52
"TERRIBLEBEAUTYBORN (IRE)",2019,FILLY,,A:x,A:x,A:x,-,-,-
"TERRIMIA (GB)",2020,FILLY,"S. P. C. Woods",T:61,T:x,T:x,-,-,-
"TERRITORIAL WATERS (IRE)",2020,FILLY,"Roger Fell",A:46,A:x,A:x,A:x,-,-
"TERUNTUM STAR (FR)",2012,GELDING,"Scott Dixon",A:57,A:48,A:50,T:56,T:65,T:62
"TESSA (GB)",2020,FILLY,,T:x,T:54,T:x,T:67,T:x,T:x
"TESSY LAD (IRE)",2019,GELDING,"Richard Hughes",H:x,H:102,A:73,T:69,A:66,T:68
"TESTFLIGHT (GB)",2017,GELDING,"Susan Gardner",H:76,H:x,H:x,H:x,N:x,N:x
"TESTING FAITH (GB)",2019,GELDING,"Ian Williams",A:51,A:41,T:44,T:58,T:55,T:x
"TESTON (FR)",2015,GELDING,,T:68,T:66,A:0,A:84,A:76,A:80
"TEUMESSIAS FOX (IRE)",2019,COLT,"Andrew Balding",T:81,T:69,T:88,T:85,T:84,T:83
"TEXAN NOMAD (GB)",2012,GELDING,,H:86,H:87,H:68,H:96,H:105,H:47
"TEXARD (FR)",2015,GELDING,"David Pipe",S:104,S:104,S:130,S:124,S:61,S:117
"TEXAS BOY (IRE)",2020,COLT,"Rebecca Menzies",A:33,A:18,A:43,-,-,-
"TEXAS MAN (IRE)",2019,GELDING,"Paul Midgley",T:61,T:78,T:60,T:80,T:59,T:76
"TFOU (FR)",2016,GELDING,"Nicky Richards",S:112,S:115,H:x,H:x,N:x,-
"THAAYER (GB)",2015,GELDING,"Michael Herrington",A:29,A:43,A:10,A:52,A:51,A:55
"THAHAB IFRAJ (IRE)",2013,GELDING,"Alexandra Dunn",H:93,H:85,H:105,H:99,H:104,H:105
"THAI POWER (IRE)",2017,GELDING,,T:59,T:68,T:73,T:75,A:73,A:72
"THAIS TOIR (FR)",2015,GELDING,,S:68,S:60,S:68,S:78,S:75,S:72
"THAKI (IRE)",2017,GELDING,"Jessica Macey",A:65,A:52,A:61,A:69,A:64,A:71
"THAKRAH (GB)",2019,FILLY,"Robert Cowell",A:44,A:28,A:53,A:52,A:59,T:40
"THAKURI (IRE)",2019,FILLY,,T:38,T:30,T:10,T:48,T:49,T:26
"THANK THE LORD (GB)",2019,GELDING,"Simon Hodgson",A:0,A:55,A:45,T:45,A:0,T:48
"THANKS MONICA (IRE)",2019,FILLY,"Ralph Beckett",T:93,T:93,T:77,T:69,T:59,A:70
"THANKSFORTHEHELP (FR)",2017,GELDING,"David Pipe",H:114,H:x,H:x,H:x,N:x,-
"THANKUAPPRECIATE (GB)",2020,GELDING,"Nigel Tinkler",T:x,T:x,T:x,T:x,T:x,-
"THAPA VC (IRE)",2018,GELDING,"Mark Rimell",A:74,A:71,T:67,T:56,A:74,A:76
"THAT'S A GIVEN (FR)",2014,GELDING,"N. W. Alexander",H:108,H:100,S:99,H:94,S:0,S:123
"THAT'S ME (IRE)",2014,GELDING,,S:41,S:61,S:0,H:86,H:x,H:x
"THAT'S MY DUBAI (IRE)",2013,FILLY,"Kevin Hunter",H:8,H:26,H:57,H:34,H:44,H:30
"THATBEATSBANAGHER (IRE)",2014,GELDING,"Ben Haslam",H:100,H:86,H:100,H:76,S:92,H:100
"THATSY (FR)",2014,GELDING,"Lizzie Quinlan",S:0,S:117,H:105,S:119,S:108,S:123
"THE ANGELUS BELLE (IRE)",2020,FILLY,"David O'Meara",A:55,A:58,A:50,A:x,T:x,A:x
"THE ARMED MAN (GB)",2013,GELDING,"Chris Fairhurst",T:50,T:38,T:69,T:69,T:67,T:58
"THE ATTORNEY (IRE)",2018,COLT,,T:94,T:96,T:96,T:94,A:94,T:94
"THE BANDIT (IRE)",2015,GELDING,"Neil King",H:x,H:x,H:x,N:x,-,-
"THE BAY WARRIOR (IRE)",2018,GELDING,"Mark Usher",A:63,A:64,T:61,T:48,A:63,A:61
"THE BELL CONDUCTOR (IRE)",2017,GELDING,"Paul Midgley",A:79,A:89,A:94,A:88,A:81,T:77
"THE BIG BITE (IRE)",2013,GELDING,"Henry Oliver",S:116,S:0,S:138,S:144,S:0,S:0
"THE BIG BOARD (IRE)",2020,FILLY,"Richard Hannon",A:x,T:86,T:85,T:82,T:x,T:x
"THE BIG BREAKAWAY (IRE)",2015,GELDING,"Joe Tizzard",S:151,S:148,S:0,H:144,S:115,S:148
"THE BIG HOUSE (IRE)",2016,GELDING,,T:29,A:45,A:45,T:48,T:53,T:51
"THE BIG JETAWAY (IRE)",2016,GELDING,,S:103,S:109,H:x,H:x,H:x,-
"THE BIG LENSE (IRE)",2013,GELDING,"James Owen",H:0,-,-,-,-,-
"THE BIG RED ONE (GB)",2017,GELDING,"Seamus Mullins",H:66,H:58,H:0,H:x,H:x,H:x
"THE BIG STING (IRE)",2015,GELDING,,S:92,S:89,H:78,H:84,H:x,H:x
"THE BLAME GAME (IRE)",2014,GELDING,"James Ewart",H:84,H:0,H:0,H:80,H:54,S:66
"THE BOAT (IRE)",2016,GELDING,"Evan Williams",S:75,S:86,S:77,S:75,S:72,S:0
"THE BOLD THADY (IRE)",2017,GELDING,"Neil Mulholland",H:100,H:89,H:75,H:x,H:x,H:x
"THE BOMBER LISTON (IRE)",2016,GELDING,"Nicky Henderson",H:122,H:123,H:x,H:x,N:x,N:x
"THE CAMACHO KID (IRE)",2020,COLT,"Declan Carroll",A:31,T:x,T:x,T:x,-,-
"THE CHANGING MAN (IRE)",2017,GELDING,"Joe Tizzard",H:123,H:118,H:109,H:102,H:67,H:x
"THE CHARMER (IRE)",2019,GELDING,"Mike Murphy & Michael Keady",A:16,A:14,A:31,A:14,A:39,T:46
"THE CHURCHILL LAD (IRE)",2019,GELDING,"Rebecca Menzies",H:118,H:118,H:111,H:110,A:67,A:56
"THE CITY'S PHANTOM (GB)",2017,GELDING,"Richard Spencer",A:81,T:86,T:77,T:74,T:83,T:92
"THE COLA KID (GB)",2017,GELDING,"Grace Harris",A:49,A:47,A:54,A:56,T:39,T:48
"THE COMPOSEUR (IRE)",2015,GELDING,,H:65,H:85,H:89,H:104,S:0,S:82
"THE COOKSTOWN CAFU (GB)",2019,GELDING,"Kevin Ryan",T:77,T:75,T:70,T:67,T:75,T:78
"THE CREAM RISES (IRE)",2020,COLT,,A:9,A:31,A:x,T:x,T:x,-
"THE CRUISING LORD (GB)",2016,GELDING,"Robyn Brisland",T:26,A:12,T:44,T:76,T:61,T:75
"THE DALEY EXPRESS (IRE)",2014,GELDING,"Ronald Harris",A:47,T:56,T:43,T:58,T:70,T:40
"THE DANCING POET (GB)",2016,GELDING,"Brian Ellison",A:37,A:65,A:68,A:68,A:69,A:71
"THE DEFIANT (GB)",2016,GELDING,"Daniel Steele",A:68,A:62,A:73,T:66,T:74,A:72
"THE DUNKIRK LADS (GB)",2019,GELDING,"Tim Easterby",T:71,T:56,T:69,T:71,T:73,T:75
"THE EDGAR WALLACE (IRE)",2015,GELDING,"Kim Bailey",S:125,S:0,S:129,S:0,S:135,H:x
"THE ELECTRICIAN (IRE)",2016,GELDING,"R. Mike Smith",S:0,S:84,S:94,S:93,H:78,S:0
"THE FECKENHAM FOX (GB)",2014,FILLY,"Max Young",S:0,S:89,H:75,H:68,H:0,H:0
"THE FERRY MASTER (IRE)",2013,GELDING,"Sandy Thomson",S:116,S:0,S:117,S:92,S:128,S:111
"THE FIRST HURRAH (FR)",2018,FILLY,,A:38,A:42,A:46,A:40,A:48,A:54
"THE FIRST KING (IRE)",2017,GELDING,,A:39,T:18,T:x,T:25,A:63,A:72
"THE FLYING GINGER (IRE)",2018,FILLY,"Roger Fell",A:66,A:72,T:52,T:72,T:73,T:67
"THE FOXES (IRE)",2020,COLT,"Andrew Balding",T:111,T:x,T:79,T:x,-,-
"THE FULL BRONTE (GB)",2020,GELDING,,T:x,T:x,A:x,T:x,-,-
"THE GADGET MAN (GB)",2019,GELDING,,T:91,T:91,T:87,A:77,T:79,T:x
"THE GALLOPING BEAR (GB)",2013,GELDING,"Ben Clarke",S:0,H:128,S:147,S:140,H:x,H:132
"THE GAME IS UP (GB)",2020,FILLY,"Pat Phelan",A:34,T:x,A:x,T:x,-,-
"THE GAME OF LIFE (GB)",2015,GELDING,"Michael Herrington",A:36,A:18,A:35,A:36,A:47,A:45
"THE GARRISON (IRE)",2014,GELDING,,S:0,S:64,S:52,S:0,S:37,S:84
"THE GAY BLADE (GB)",2019,GELDING,"Iain Jardine",A:50,A:44,T:54,T:43,T:29,T:49
"THE GEORDIE GINGE (IRE)",2018,GELDING,"Nigel Twiston-Davies",H:x,H:x,H:x,N:x,-,-
"THE GLANCING QUEEN (IRE)",2014,FILLY,,S:137,S:145,S:132,S:140,S:141,S:138
"THE GLOAMING (IRE)",2018,FILLY,"Iain Jardine",A:29,A:26,A:36,A:50,T:38,T:50
"THE GO TO (IRE)",2020,FILLY,"Tim Easterby",A:x,T:x,A:x,-,-,-
"THE GOLD BUG (IRE)",2015,GELDING,"D. J. Jeffreys",H:0,H:79,H:62,H:x,H:x,H:x
"THE GOLDEN CUE (GB)",2015,GELDING,"Steph Hollinshead",T:20,T:27,T:30,A:0,T:20,T:45
"THE GOLDEN REBEL (IRE)",2014,GELDING,"Ben Case",H:126,S:0,S:118,S:130,S:110,S:113
"THE GOONER (IRE)",2018,GELDING,"Jonjo O'Neill",H:x,H:x,-,-,-,-
"THE GRAND VISIR (GB)",2014,GELDING,"Christopher Kellett",T:97,A:99,H:x,H:121,T:100,T:108
"THE GREAT GEORGIE (GB)",2015,GELDING,"Jackie Stephen",H:0,H:26,H:x,H:x,H:x,H:x
"THE GREEN AMIGO (GB)",2019,GELDING,"Michael Bell",T:56,T:x,T:x,T:x,-,-
"THE GREEN MAN (IRE)",2019,GELDING,"Joseph Parr",A:72,T:47,T:81,T:72,T:x,T:78
"THE GREY BAY (IRE)",2017,GELDING,,A:33,T:34,T:26,T:28,T:35,A:19
"THE GREY FALCO (FR)",2015,GELDING,"Ben Pauling",S:0,H:114,H:88,H:116,H:100,H:107
"THE GREY LASS (GB)",2019,FILLY,"Michael & David Easterby",A:47,T:51,T:47,T:34,T:36,T:48
"THE GREY WOLF (IRE)",2019,GELDING,,T:53,T:50,T:53,T:17,T:30,T:53
"THE HEIGHT OF FAME (GB)",2017,FILLY,"Keiran Burke",H:102,H:105,H:99,H:94,H:88,H:77
"THE HOLLOW GINGE (IRE)",2013,GELDING,"Nigel Twiston-Davies",S:0,S:0,S:0,S:0,S:124,S:0
"THE IMPOSTER (FR)",2017,GELDING,"Nigel Hawke",H:95,H:94,H:91,H:80,H:77,H:68
"THE JAD FACTOR (IRE)",2016,GELDING,"R. Mike Smith",H:94,H:42,H:94,H:98,H:99,H:90
"THE KING OF MAY (FR)",2014,GELDING,"Brian Ellison",S:124,S:126,S:120,S:107,S:128,S:123
"THE KING'S MEN (GB)",2020,COLT,"Michael Dods",A:x,A:x,T:x,A:x,-,-
"THE KING'S STEED (GB)",2013,GELDING,"Shaun Lycett",A:31,A:43,A:20,A:34,A:43,A:3
"THE KINGS WRIT (IRE)",2011,GELDING,"Kayley Woollacott",S:119,S:0,S:100,S:0,S:0,S:102
"THE KNIPHAND (FR)",2018,GELDING,"Nigel Twiston-Davies",H:113,H:x,H:x,H:x,N:x,N:x
"THE KNOT IS TIED (IRE)",2015,GELDING,"Neil King",S:0,S:102,S:51,H:0,H:71,H:0
"THE LAMPLIGHTER (FR)",2015,GELDING,"George Baker",A:73,A:77,T:80,T:74,T:79,T:81
"THE LAST DAY (IRE)",2012,GELDING,"Evan Williams",S:128,S:141,S:133,H:109,H:117,S:124
"THE LAST TANGO (GB)",2017,FILLY,,A:0,A:25,H:x,A:x,A:x,A:x
"THE LATE LEGEND (GB)",2013,GELDING,"Tom Weston",H:48,H:64,S:105,S:110,S:102,S:0
"THE LION DANCER (IRE)",2012,GELDING,"Alex Hales",S:101,S:0,S:97,S:100,H:78,S:80
"THE MACON LUGNATIC (GB)",2014,GELDING,"Ben Pauling",H:93,S:0,S:105,H:113,H:115,H:118
"THE MAD MONK (IRE)",2019,GELDING,,A:31,A:45,A:52,A:47,A:48,T:43
"THE MENSTONE GEM (IRE)",2019,GELDING,"Craig Lidster",A:82,A:86,A:85,T:78,T:73,T:68
"THE MIGHTY ARC (IRE)",2015,GELDING,"Charlie Longsdon",S:0,S:117,S:0,S:123,S:118,S:118
"THE MIGHTY DON (IRE)",2012,GELDING,"Nick Gifford",S:0,S:114,H:0,S:113,S:135,S:99
"THE MOUSE KING (IRE)",2019,GELDING,"Julia Feilden",T:66,T:73,A:76,A:83,A:72,T:58
"THE MUFFIN MAN (IRE)",2020,GELDING,"Jessica Macey",A:x,T:x,T:x,-,-,-
"THE MULCAIR (IRE)",2014,GELDING,"Jeremy Scott",S:122,S:117,S:106,S:132,H:x,H:x
"THE NAIL GUNNER (IRE)",2018,GELDING,"Ivan Furtado",A:66,A:66,A:44,A:64,A:67,A:47
"THE NAVIGATOR (GB)",2015,GELDING,"Dianne Sayer",H:105,H:111,H:116,T:62,H:120,H:120
"THE NEW MARWAN (GB)",2017,GELDING,"Richard Fahey",A:34,A:58,T:56,T:46,T:64,T:60
"THE NEWEST ONE (IRE)",2015,GELDING,"Nigel Twiston-Davies",S:0,S:115,S:117,S:125,S:127,S:122
"THE NU FORM WAY (FR)",2018,GELDING,"Stella Barclay",A:46,T:65,T:58,T:71,T:67,T:74
"THE ORGANISER (GB)",2019,GELDING,,T:83,T:82,T:75,T:84,T:75,T:89
"THE PADDY PIE (IRE)",2013,GELDING,"Sue Smith",S:119,S:94,S:102,S:110,S:103,S:118
"THE PARENT (GB)",2020,COLT,"Richard Hannon",T:69,T:x,T:x,T:x,-,-
"THE PINK'N (GB)",2016,GELDING,"Seamus Mullins",H:128,A:55,H:126,H:138,H:138,H:134
"THE PLATINUM QUEEN (IRE)",2020,FILLY,"Roger Varian",T:110,T:111,T:106,T:x,T:83,T:x
"THE PLAYER QUEEN (IRE)",2016,FILLY,"Rose Dobbin",H:0,H:0,H:96,H:86,H:x,H:x
"THE PLIMSOLL LINE (IRE)",2016,GELDING,"Jeremy Scott",H:115,H:x,H:x,H:x,H:x,H:x
"THE PREDICTOR (IRE)",2019,GELDING,"Richard Fahey",T:79,T:76,T:67,T:74,T:70,T:37
"THE PRINCE (IRE)",2019,GELDING,,A:46,A:31,A:56,A:x,A:x,T:x
"THE PRINCES POET (GB)",2018,GELDING,"Eve Johnson Houghton",A:64,A:54,A:64,T:61,T:52,T:65
"THE PUG (IRE)",2020,GELDING,"Sylvester Kirk",A:55,A:55,A:51,T:x,T:x,T:x
"THE QUESTIONER (IRE)",2016,GELDING,"Oliver Greenall & Josh Guerriero",S:103,H:97,H:95,H:90,H:87,H:87
"THE RAIN KING (IRE)",2017,GELDING,"Alexandra Dunn",H:0,H:x,H:x,T:58,T:61,T:52
"THE RAVEN'S RETURN (GB)",2013,GELDING,"Chris Gordon",T:x,T:x,T:x,H:107,H:104,H:97
"THE REAL JET (IRE)",2016,FILLY,"Andy Irvine",H:0,S:0,S:0,S:87,S:0,H:83
"THE REAL RASCAL (IRE)",2017,GELDING,"Jackie Stephen",H:x,H:x,H:x,N:x,N:x,N:x
"THE REAL WHACKER (IRE)",2016,GELDING,"Patrick Neville",S:153,S:141,H:81,H:x,H:x,-
"THE REBEL BREEN (GB)",2019,GELDING,"Katy Price",A:42,A:34,A:49,-,-,-
"THE RENEGADE (GB)",2020,GELDING,"Hugo Palmer",T:x,T:x,A:x,-,-,-
"THE RESDEV WAY (GB)",2013,GELDING,"Micky Hammond",A:52,A:53,A:51,T:53,H:0,T:52
"THE RESIDENCIES (IRE)",2019,GELDING,,T:14,T:44,T:37,T:53,A:x,A:x
"THE RETRIEVER (IRE)",2015,GELDING,,T:15,A:37,T:40,T:33,T:34,A:56
"THE RIDLER (GB)",2020,COLT,"Richard Fahey",T:107,T:89,T:x,T:x,-,-
"THE RUTLAND REBEL (IRE)",2016,GELDING,"Micky Hammond",H:88,H:84,H:91,H:91,T:66,T:71
"THE SCORPION KING (GB)",2018,GELDING,"Oliver Signy",H:x,H:x,H:x,N:x,N:x,-
"THE SEDBERGHIAN (IRE)",2018,FILLY,,A:21,T:49,T:56,A:41,A:29,A:61
"THE SIMPLE TRUTH (FR)",2017,GELDING,,T:x,T:29,A:20,A:9,A:27,T:22
"THE SKIFFLE KING (IRE)",2016,GELDING,"Charles & Adam Pogson",H:59,H:53,H:x,H:x,H:x,N:x
"THE SMULL (IRE)",2019,GELDING,,T:35,T:43,T:62,-,-,-
"THE SPOTLIGHT KID (GB)",2019,GELDING,"Dean Ivory",T:69,T:62,A:60,A:0,A:54,A:61
"THE STREET (IRE)",2016,GELDING,"Emma Lavelle",H:0,S:0,S:0,H:106,H:121,H:119
"THE THAMES BOATMAN (GB)",2020,COLT,"Richard Hughes",T:43,A:x,T:72,A:x,A:x,-
"THE THIN BLUE LINE (IRE)",2018,GELDING,"Keith Dalgleish",A:61,A:65,A:79,A:73,A:69,T:75
"THE THUNDERER (IRE)",2018,GELDING,"Sean Curran",A:0,A:76,T:66,A:68,T:68,T:0
"THE TIN MINER (IRE)",2011,GELDING,"Chris Gordon",H:0,H:0,H:100,H:100,H:97,H:97
"THE TOFF (IRE)",2020,GELDING,"Charles Hills",A:68,T:35,T:70,T:76,T:x,T:x
"THE TOOJUMPA (GB)",2013,FILLY,"Fergal O'Brien",S:0,S:64,S:0,S:0,S:97,S:98
"THE TRADER (IRE)",2016,GELDING,"Sam England",A:55,A:62,H:x,A:65,A:64,A:34
"THE TRAMPOLINIST (IRE)",2015,FILLY,"Jim & Suzi Best",H:50,H:67,H:x,H:x,H:x,N:x
"THE TRON (GB)",2018,GELDING,"Derek Shaw",A:52,A:52,A:52,A:52,A:38,A:53
"THE TURPINATOR (IRE)",2017,GELDING,"Grant Tuer",A:88,A:81,T:67,T:86,T:77,T:93
"THE TURTLE SAID (GB)",2017,GELDING,"Neil Mulholland",H:112,H:101,H:x,H:x,N:x,N:x
"THE TWILIGHT LADY (GB)",2020,FILLY,,A:65,T:56,T:63,T:65,T:54,T:59
"THE TWO AMIGOS (GB)",2012,GELDING,"Nicky Martin",S:132,S:122,S:78,S:130,S:125,S:128
"THE VAN MAN (GB)",2020,GELDING,"Ollie Pears",T:0,A:60,T:x,T:x,T:x,-
"THE VERY THING (IRE)",2014,GELDING,"Micky Hammond",S:0,S:79,S:0,S:75,S:87,H:52
"THE VOLLAN (IRE)",2014,GELDING,"L J Morgan",S:0,S:104,S:102,S:100,S:125,S:94
"THE WHIPMASTER (IRE)",2018,GELDING,"Gary Moore",T:71,T:74,T:84,T:90,T:90,T:86
"THE WHITE VOLCANO (IRE)",2012,GELDING,"Wilf Storey",-,-,-,-,-,-
"THE WIDDOW MAKER (GB)",2014,GELDING,"Joe Tizzard",S:134,S:124,S:130,S:140,S:140,S:140
"THE WILD WILD SEA (GB)",2016,FILLY,,H:0,H:78,H:83,H:81,H:69,H:x
"THE WIRE FLYER (GB)",2015,GELDING,"John Flint",H:0,H:0,H:32,T:35,H:79,H:47
"THE WISE TRAVELLER (IRE)",2016,GELDING,"Charlie Longsdon",H:84,H:88,H:85,H:0,S:0,S:78
"THE WIZARD OF EYE (IRE)",2019,COLT,"J. S. Moore",A:109,A:83,T:90,T:89,T:107,T:102
"THE WOLF (FR)",2014,GELDING,"Olly Murphy",S:128,S:99,S:138,S:111,S:139,S:138
"THE WOUNDED KNEE (GB)",2017,GELDING,"Patrick Neville",H:x,H:118,H:x,H:x,-,-
"THE WREKIN (IRE)",2016,GELDING,"Henry Daly",H:112,H:119,H:113,H:x,H:x,H:x
"THE WRITER (GB)",2019,GELDING,"Patrick Neville",T:30,T:44,A:49,A:46,A:x,A:x
"THE X O (IRE)",2020,COLT,"John Ryan",A:80,A:x,A:x,A:x,-,-
"THE YELLOW MINI (GB)",2018,FILLY,,A:0,S:0,S:53,H:51,H:57,H:59
"THEATRE GLORY (IRE)",2017,FILLY,"Nicky Henderson",H:137,H:0,H:x,H:137,H:x,H:x
"THEATRE MAN (IRE)",2016,GELDING,"Richard Bandey",H:x,H:x,H:x,N:x,N:x,-
"THEBEAUTIFULGAME (GB)",2019,FILLY,"Tom Clover",A:75,T:82,T:82,T:82,T:80,T:x
"THECOLOUROFMAGIC (GB)",2019,FILLY,,A:21,T:x,T:x,A:x,-,-
"THEFASTNTHECURIOUS (GB)",2018,FILLY,"Richard Spencer",A:67,A:56,A:64,T:70,A:71,T:79
"THEGREATESTSHOWMAN (GB)",2016,GELDING,"Amy Murphy",A:49,A:43,A:63,A:50,A:63,T:58
"THEGREYVTRAIN (GB)",2016,FILLY,"Ronald Harris",A:4,T:25,T:6,T:44,T:43,T:48
