Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
SHABS (GB),2019,GELDING,ACLAIM (IRE),INAGH RIVER (GB),Martin Smith,51,,,,,,,,,,,
SHADES OF SUMMER (IRE),2019,FILLY,SHAMARDAL (USA),JIRA (GB),James Tate,75,,,,,,,,,,,
SHADOWFAX (GB),2019,GELDING,GALILEO (IRE),GOLDEN VALENTINE (FR),Michael Appleby,64,,,,,,,,,,,
SHAHBAZ (IRE),2020,GELDING,FREE EAGLE (IRE),MIDDLE PERSIA (GB),Charlie Fellowes,88,,,,,,,,,,,
SHAHNAZ (IRE),2019,FILLY,DECORATED KNIGHT (GB),FOL O'YASMINE (GB),Gemma Tutty,70,,,,,,,,,,,
SHAKE A LEG (IRE),2017,GELDING,EXCELEBRATION (IRE),SOS BRILLANTE (CHI),Julie Camacho,81,,,,,,,,,,,
SHAKEM UP'ARRY (IRE),2014,GELDING,FLEMENSFIRTH (USA),NUN BETTER (IRE),Ben Pauling,,,,,,,139,,,,,
SHAKENOTSTIRRED (GB),2019,FILLY,HAVANA GOLD (IRE),SO FUNNY (USA),,63,,,,,,,,,,,
SHALAA ASKER (GB),2018,GELDING,SHALAA (IRE),MIRACLE SEEKER (GB),Adrian Keatley,69,,,,,,,,,,,
SHALADAR (FR),2019,GELDING,SHALAA (IRE),ULTRADARGENT (FR),Kevin Ryan,82,,,,,,,,,,,
SHALAKAR (FR),2013,GELDING,CAPE CROSS (IRE),SHALANAYA (IRE),Venetia Williams,,,,,,,,,,109,,
SHALFA (IRE),2019,FILLY,RIBCHESTER (IRE),MIKANDY (IRE),Charles Hills,64,,,,,,,,,,,
SHALLOW HAL (GB),2016,GELDING,MAYSON (GB),BAZELLE (GB),K. R. Burke,73,,,85,,,,,,,,
SHALLOW RIVER (IRE),2016,GELDING,OCOVANGO (GB),NICOLA'S GIRL (IRE),Fergal O'Brien,,,,,,,,,,120,,
SHAMADAAN (GB),2018,GELDING,INVINCIBLE SPIRIT (IRE),RASMEYAA (IRE),,46,,,,,,,,,,,
SHAMALAMA (IRE),2020,GELDING,KODIAC (GB),RAYDA (IRE),Jessica Macey,59,,,,,,,,,,,
SHAMEKH (GB),2019,GELDING,NEW BAY (GB),EVER LOVE (BRZ),James Ferguson,78,,,,,,,,,,,
SHAMFIZZ (GB),2018,FILLY,CASAMENTO (IRE),POUND STERLING (GB),,68,,,,,,,,,,,
SHAMILLA (GB),2019,FILLY,MAYSON (GB),MOST TEMPTING (GB),,48,,,,,,,,,,,
SHAMPION (IRE),2019,FILLY,SHAMARDAL (USA),NADA (GB),,82,,,,,,,,,,,
SHAMSHON (IRE),2011,GELDING,INVINCIBLE SPIRIT (IRE),GREENISLAND (IRE),Stuart Williams,48,,,,,,,,,,,
SHAN BLUE (IRE),2014,GELDING,SHANTOU (USA),LADY ROBERTA (IRE),Dan Skelton,,,,,,,148,,,,,
SHANBALLY ROSE (IRE),2014,FILLY,COURT CAVE (IRE),AMY'S SONG (IRE),Rose Dobbin,,,,,,,79,,,,,
SHANDANCER (IRE),2017,GELDING,MORPHEUS (GB),MRS POPPLE (GB),Amy Murphy,,,,,,,,,,106,,
SHANDY STAR (IRE),2020,FILLY,COTAI GLORY (GB),NOUVELLE NOVA (IRE),Roger Fell,85,,,,,,,,,,,
SHANKO (GB),2019,GELDING,OASIS DREAM (GB),BEACH BUNNY (IRE),,76,,,,,,,,,,,
SHANROE SMOOCH (IRE),2013,GELDING,ASK (GB),LADY QUESADA (IRE),Mrs Victoria Booth,,,,,,,65,,,,,
SHANTOU EXPRESS (IRE),2015,GELDING,SHANTOU (USA),SPANKER (GB),Kim Bailey,,,,,,,,,,128,,
SHANTOU FLYER (IRE),2010,GELDING,SHANTOU (USA),CARRIGMORNA FLYER (IRE),S. Loxton,,,,,,,135,-2,,,,
SHANTOU MOON (IRE),2017,GELDING,SHANTOU (USA),EMMA AMI (IRE),Tristan Davidson,,,,,,,,,,85,,
SHANTOU SUNSET (GB),2014,FILLY,SHANTOU (USA),KINGARA (GB),Tim Vaughan,,,,,,,,,,99,,
SHANTY ALLEY (GB),2014,GELDING,SHANTOU (USA),ALEXANDER ROAD (IRE),Ben Case,,,,,,,128,,,,,
SHAQUILLE (GB),2020,COLT,CHARM SPIRIT (IRE),MAGIC (IRE),Julie Camacho,94,,,,,,,,,,,
SHARED (GB),2019,GELDING,ALMANZOR (FR),BETWEEN US (GB),Harry Derham,67,,,,,,,,,,,
SHAREEF STAR (GB),2015,GELDING,SEA THE STARS (IRE),GOTLANDIA (FR),,,,,,,,113,,,,,
SHARIB (GB),2017,GELDING,INVINCIBLE SPIRIT (IRE),THAMARAT (GB),,59,,,,,,,,,,,
SHARK TWO ONE (GB),2018,GELDING,ADAAY (IRE),TOUCHING (IRE),Jessica Macey,63,,,,,,,,,,,
SHARLA (GB),2018,FILLY,OUTSTRIP (GB),SHERSHA (IRE),,63,,,,,,,,,,,
SHARP COMBO (IRE),2019,GELDING,BATED BREATH (GB),COMBINATION (FR),,73,,,,,,,,,,,
SHARP DISTINCTION (GB),2019,GELDING,TAMAYUZ (GB),PIN CUSHION (GB),Amy Murphy,69,,,,,,,,,,,
SHARP NOTE (IRE),2017,FILLY,MAHLER (GB),LAST CAMPAIGN (IRE),Seamus Mullins,,,,,,,,,,86,,
SHARPCLIFF (GB),2017,GELDING,FARHH (GB),AVONROSE (GB),,86,,,,,,,,,,,
SHARRABANG (GB),2016,GELDING,COACH HOUSE (IRE),DULALLY (GB),Stella Barclay,44,,,,,,,,,,,
SHARRON MACREADY (IRE),2019,FILLY,MEHMAS (IRE),FOREPLAY (IRE),David Loughnane,64,,,,,,,,,,,
SHARVARA (GB),2019,COLT,KINGMAN (GB),TENDENCY (IRE),Archie Watson,77,,,,,,,,,,,
SHAW'S CROSS (IRE),2012,GELDING,MR DINOS (IRE),CAPPAROE CROSS (IRE),Paul Henderson,,,,,,,86,+3,,,,
SHAWAAG (IRE),2019,GELDING,KODIAC (GB),QUESTION (USA),,60,,,,,,,,,,,
SHAWASHA (IRE),2020,FILLY,INVINCIBLE SPIRIT (IRE),FLY ON THE NIGHT (GB),,62,,,,,,,,,,,
SHAWNEE WARRIOR (GB),2019,GELDING,MONDIALISTE (IRE),STORMING SIOUX (GB),,79,,,,,,,,,,,
SHAWS BRIDGE (IRE),2013,GELDING,KALANISI (IRE),ZAFFARELLA (IRE),Micky Hammond,,,,,,,,,,96,,
SHE DO (GB),2018,FILLY,SIYOUNI (FR),MINNALOUSHE (IRE),,97,,,,,,,,,,,
SHE'S A DEVA (GB),2018,FILLY,FOUNTAIN OF YOUTH (IRE),ROSEIN (GB),,49,,,,,,,,,,,
SHE'S A MIRAGE (GB),2020,FILLY,KODIAC (GB),AQLAAM VISION (GB),David Evans,59,,,,,,,,,,,
SHE'S A ROCCA (IRE),2015,FILLY,SHIROCCO (GER),HANNIGAN'S LODGER (IRE),Nicky Richards,,,,,,,,,,90,,
SHE'S A ROCKET (GB),2020,FILLY,BUNGLE INTHEJUNGLE (GB),TICKTOCKS (GB),Gemma Tutty,56,-1,,,,,,,,,,
SHE'S A SAINT (IRE),2017,FILLY,SAINT DES SAINTS (FR),CHARADE (IRE),Dan Skelton,,,,,,,,,,124,,
SHE'S A STEAL (IRE),2017,FILLY,FLEMENSFIRTH (USA),THANKS AWFULLY (IRE),Rose Dobbin,,,,,,,,,,70,,
SHE'S CENTIMENTAL (USA),2020,FILLY,GOLDENCENTS (USA),SHESABITDISTORTED (USA),Alice Haynes,77,,,,,,,,,,,
SHE'S GOT BOTTLE (GB),2019,FILLY,LETHAL FORCE (IRE),LADY TABITHA (IRE),Roger Fell,57,,,,,,,,,,,
SHE'S HOT (GB),2020,FILLY,SIOUX NATION (USA),TIMELY WORDS (GB),Paul & Oliver Cole,82,,,,,,,,,,,
SHE'S SO LOVELY (IRE),2016,FILLY,MAHLER (GB),HOUSE-OF-HEARTS (IRE),Dan Skelton,,,,,,,,,,87,-3,
SHE'S THE DANGER (IRE),2019,FILLY,PRIDE OF DUBAI (AUS),MOMENT IN THE SUN (GB),Roy Bowring,65,,,,,,,,,,,
SHEARER (IRE),2016,GELDING,FLEMENSFIRTH (USA),THE CROWN JEWEL (IRE),Paul Nicholls,,,,,,,,,,137,,
SHEE'S A STELLA (GB),2018,FILLY,MOUNTAIN HIGH (IRE),ANOTHER STELLA (GB),Debra Hamer,,,,,,,,,,79,,
SHEER ROCKS (GB),2019,COLT,IFFRAAJ (GB),PARADISE COVE (GB),Eve Johnson Houghton,87,,,,,,,,,,,
SHEHARZ (GB),2018,FILLY,HARZAND (IRE),O'CONNOR'S GIRL (GB),,44,,,,,,,,,,,
SHEIKH MAZ MAHOOD (IRE),2019,GELDING,FAST COMPANY (IRE),ALL IN GREEN (IRE),Declan Carroll,71,,,,,,,,,,,
SHEILA NASH (IRE),2015,FILLY,FLEMENSFIRTH (USA),HOLLYGROVE RUMBA (IRE),Harry Whittington,,,,,,,,,,101,,
SHELDON (IRE),2016,GELDING,SHANTOU (USA),FEABHRA (IRE),Seamus Mullins,,,,,,,121,,,,,
SHENZHEN SUBWAY (IRE),2019,GELDING,KODI BEAR (IRE),CLASSIC LEGEND (GB),,49,,,,,,,,,,,
SHERBORNE (IRE),2016,GELDING,GETAWAY (GER),LUCK OF THE DEISE (IRE),Joe Tizzard,,,,,,,95,-6,,,,
SHERDIL (IRE),2019,GELDING,DANDY MAN (IRE),CHICAGO FALL (IRE),Paul Midgley,71,,,,,,,,,,,
SHERIFF GARRETT (IRE),2014,GELDING,LAWMAN (FR),FEW ARE CHOSEN (IRE),Tim Easterby,,,,,,,,,,112,-1,
SHERMAN KLUMPF (IRE),2020,GELDING,PROFITABLE (IRE),FRABRIKA (IRE),,51,,,,,,,,,,,
SHERPA TRAIL (USA),2016,GELDING,GIO PONTI (USA),VAPOUR MUSING (GB),,45,,,,,,,,,,,
SHESADABBER (GB),2016,FILLY,HEERAAT (IRE),SAOROCAIN (IRE),Michael Mullineaux,60,,,55,,,,,,,,
SHESASUPERSTAR (IRE),2017,FILLY,OCOVANGO (GB),JILLS OSCAR (IRE),Clive Boultbee-Brooks,,,,,,,,,,62,,
SHESUPINCOURT (GB),2017,FILLY,COURT CAVE (IRE),SUPREME COVE (GB),Ryan Potter,,,,,,,,,,80,-1,
SHETLAND BUS (GER),2013,GELDING,SHOLOKHOV (IRE),SHALI TORI (FR),Dr Richard Newland,,,,,,,121,,,,,
SHIBORI (IRE),2019,FILLY,DARK ANGEL (IRE),MADE BY HAND (IRE),,72,,,,,,,,,,,
SHIBUYA SONG (GB),2019,FILLY,NEW APPROACH (IRE),SILENT MUSIC (IRE),Richard Phillips,69,,,,,,,,,,,
SHIELDED (IRE),2018,GELDING,BURATINO (IRE),SHAMBOLIQUE (GB),,66,,,,,,,,,,,
SHIFTER (GB),2019,FILLY,MUHAARAR (GB),HOLLEY SHIFTWELL (GB),Wilf Storey,56,,,,,,,,,,,
SHIGAR (IRE),2019,GELDING,FARHH (GB),DIALA (IRE),William Haggas,80,,,,,,,,,,,
SHIGHNESS (GB),2017,FILLY,PASSING GLANCE (GB),SHARWAKOM (IRE),Micky Hammond,,,,,,,,,,107,,
SHIMMERING SANDS (GB),2019,GELDING,TEOFILO (IRE),MILADY (GB),Michael & David Easterby,71,,,,,,,,,,,
SHIN SAW GYI (GB),2019,FILLY,ARDAD (IRE),POSH CLARET (GB),,56,,,,,,,,,,,
SHINE HONEY SHINE (GB),2020,FILLY,HAVANA GREY (GB),MILITARY MADAME (IRE),K. R. Burke,67,new,,,,,,,,,,
SHINE ON BRENDAN (IRE),2017,GELDING,SOCIETY ROCK (IRE),SOMETHING MAGIC (GB),Jim Goldie,67,,,,,,,,,,,
SHINE SO BRIGHT (GB),2016,COLT,OASIS DREAM (GB),ALLA SPERANZA (GB),,106,,,,,,,,,,,
SHINE'S AMBITION (IRE),2020,COLT,KESSAAR (IRE),JANUARY MORN (USA),Roger Fell,72,,,,,,,,,,,
SHINING AL DANAH (IRE),2019,FILLY,IFFRAAJ (GB),SIGNORA QUEEN (FR),,81,,,,,,,,,,,
SHINOBI (IRE),2016,GELDING,IFFRAAJ (GB),NINJA LADY (GB),,,,,,,,97,,,102,,
SHIP TO SHORE (GB),2018,GELDING,FAMOUS NAME (GB),SEA REGATTA (IRE),Patrick Chamings,58,,,,,,,,,,,
SHIPTON MOYNE (GB),2019,FILLY,COACH HOUSE (IRE),BLISSAMORE (GB),Richard Bandey,45,,,,,,,,,,,
SHIR I DONT KNOW (IRE),2017,GELDING,SHIROCCO (GER),LISS NA SIOG (IRE),Iain Jardine,,,,,,,,,,110,+7,
SHIRBO (GB),2018,COLT,WAR FRONT (USA),PATRONISING (GB),,63,,,,,,,,,,,
SHIROCCO'S DELIGHT (IRE),2017,GELDING,SHIROCCO (GER),FAR ROCK (IRE),Anna Newton-Smith,,,,,,,79,,,79,,
SHIROCCO'S DREAM (IRE),2015,FILLY,SHIROCCO (GER),DREAM FUNCTION (IRE),Joe Tizzard,,,,,,,107,,,107,,
SHISHKIN (IRE),2014,GELDING,SHOLOKHOV (IRE),LABARYNTH (IRE),Nicky Henderson,,,,,,,174,,,,,
SHIVRAJ (GB),2019,GELDING,INVINCIBLE SPIRIT (IRE),SARISKA (GB),,64,,,,,,,,,,,
SHIYRVANN (FR),2018,GELDING,KINGMAN (GB),SHEMIMA (GB),Stuart Edmunds,,,,,,,,,,79,,
SHOBIZ (GB),2018,GELDING,SHOWCASING (GB),ROYAL CONFIDENCE (GB),Charles Hills,79,,,,,,,,,,,
SHOCKWAVES (GB),2019,COLT,SEA THE MOON (GER),HAVING A BLAST (USA),Hughie Morrison,76,,,,,,,,,,,
SHOESHINE BOY (IRE),2016,GELDING,VALIRANN (FR),GODLYLADY (IRE),Donald Whillans,,,,,,,,,,102,,
SHOLOKJACK (IRE),2016,GELDING,SHOLOKHOV (IRE),ANOTHER PET (IRE),Dan Skelton,,,,,,,136,+11,,,,
SHOOT TO KILL (IRE),2017,GELDING,DANDY MAN (IRE),NANCY ASTOR (GB),Robyn Brisland,80,,,,,,,,,,,
SHORTCROSS STORM (IRE),2015,GELDING,SEPTEMBER STORM (GER),LADY LEILA (IRE),Chris Honour,,,,,,,85,,,85,,
SHORTS ON (GB),2019,GELDING,VADAMOS (FR),PEARLY SPIRIT (FR),Phil McEntee,53,-1,,,,,,,,,,
SHOT (GB),2020,FILLY,ACCLAMATION (GB),GLADIATRIX (GB),Tom Ward,63,,,,,,,,,,,
SHOT BOII (IRE),2017,GELDING,MALINAS (GER),MONCHERIE (IRE),David Pipe,,,,,,,,,,102,,
SHOT OF LOVE (GB),2020,COLT,INVINCIBLE SPIRIT (IRE),DUFAY (IRE),Michael Appleby,69,,,,,,,,,,,
SHOUGHALL'S BOY (IRE),2016,GELDING,WATAR (IRE),LADY SHACKLETON (IRE),Harriet Graham & Gary Rutherford,,,,,,,80,,,,,
SHOULDVEBEENARING (GB),2020,COLT,HAVANA GREY (GB),LADY ESTELLA (IRE),Richard Hannon,105,+5,,,,,,,,,,
SHOUTOUT (GB),2019,FILLY,HAVANA GOLD (IRE),LADY DRAGON (IRE),,72,,,,,,,,,,,
SHOW COMPASSION (GB),2019,FILLY,SHOWCASING (GB),KHASEEB (GB),Michael Dods,62,,,,,,,,,,,
SHOW ME A SUNSET (GB),2016,GELDING,SHOWCASING (GB),SUNRISE STAR (GB),Charlie Wallis,61,,,66,,,,,,,,
SHOW ME NOW (GB),2017,FILLY,MAYSON (GB),SHOW RAINBOW (GB),,38,,,,,,,,,,,
SHOW ME SHOW ME (GB),2017,GELDING,SHOWCASING (GB),SPRINGING BARONESS (GB),,79,,,,,,,,,,,
SHOW ON THE ROAD (GB),2011,GELDING,FLEMENSFIRTH (USA),ROSES OF PICARDY (IRE),Fiona Shaw,,,,,,,,,,88,,
SHOW RESPECT (IRE),2020,COLT,SHOWCASING (GB),MORE RESPECT (IRE),,105,,,,,,,,,,,
SHOW YOURSELF (GB),2018,FILLY,ACCLAMATION (GB),DARE TO DREAM (GB),,76,,,,,,,,,,,
SHOWALONG (GB),2018,GELDING,SHOWCASING (GB),MUAAMARA (GB),Tim Easterby,67,,,,,,,,,,,
SHOWDANCE (GB),2020,GELDING,SHOWCASING (GB),PENNY ROYALE (GB),,59,,,,,,,,,,,
SHOWDIEMLAD (IRE),2019,GELDING,SHOWCASING (GB),CARPE DIEM LADY (IRE),Robyn Brisland,48,,,,,,,,,,,
SHOWGAL (IRE),2020,FILLY,SHOWCASING (GB),FEARN'S PIPPIN (GB),,59,,,,,,,,,,,
SHOWLAN SPIRIT (GB),2019,FILLY,SHOWCASING (GB),SEOLAN (IRE),George Baker,63,,,,,,,,,,,
SHOWMAN (GB),2019,GELDING,KINGMAN (GB),PEINTURE ABSTRAITE (GB),,60,,,,,,,,,,,
SHOWMEDEMONEY (IRE),2019,GELDING,DIVINE PROPHET (AUS),ESCAPISM (IRE),Iain Jardine,70,+5,,,,,,,,,,
SHOWTIME MAHOMES (GB),2019,GELDING,DABIRSIM (FR),MAGIC FLORENCE (IRE),Grant Tuer,77,,,,,,,,,,,
SHUIL DONN (IRE),2016,GELDING,ARCTIC COSMOS (USA),SHUIL DUBH (IRE),,,,,,,,,,,91,,
SHUT THE BOX (IRE),2014,GELDING,DOYEN (IRE),BOND HOLDER (IRE),Chris Gordon,,,,,,,123,,,,,
SHUT UP AND DANCE (IRE),2019,FILLY,KODIAC (GB),NATURAL BLUES (GB),,60,,,,,,,,,,,
SHUTTHEGATE (IRE),2014,GELDING,MILAN (GB),MISS CONDUCT (GB),John Spearing,,,,,,,76,,,,,
SHUTUPSHIRLEY (GB),2017,GELDING,SADDLER'S ROCK (IRE),EDE'IFF (GB),Robert Walford,,,,,,,,,,108,-1,collateral
SHUV H'PENNY KING (GB),2018,GELDING,TWILIGHT SON (GB),CARDRONA (GB),,64,,,,,,,,,,,
SHYJACK (GB),2015,GELDING,ARCHIPENKO (USA),COCONUT SHY (GB),Christine Dunnett,43,,,,,,,,,,,
SIAM FOX (IRE),2018,GELDING,PRINCE OF LIR (IRE),FOLEGANDROS ISLAND (FR),Kevin Frost,80,,,,,,,,,,,
SIAMSA (IRE),2019,FILLY,STARSPANGLEDBANNER (AUS),SLIABH LUACHRA (IRE),,82,,,,,,,,,,,
SIAN MIST (GB),2019,FILLY,GARSWOOD (GB),MISS EQUIPOISE (GB),,41,,,,,,,,,,,
SICARIO (IRE),2015,GELDING,THEWAYYOUARE (USA),BLESSED BEAUTY (IRE),Michael Appleby,49,,,,,,,,,,,
SICILIAN VITO (IRE),2019,GELDING,NIGHT OF THUNDER (IRE),PENCARROW (GB),,52,,,,,,,,,,,
SID'S ANNIE (GB),2019,FILLY,FARHH (GB),BLUSHING BEAUTY (GB),Mark Usher,66,-1,,,,,,,,,,
SIDESHIFT (FR),2017,GELDING,SIDESTEP (AUS),SHAMAZING (GB),Jonjo O'Neill,54,,,,,,73,,,73,,
SIDI ISMAEL (FR),2014,GELDING,GREAT PRETENDER (IRE),TETOUANE (FR),David Pipe,,,,,,,130,,,126,-1,
SIENNA BREEZE (IRE),2018,FILLY,CAMACHO (GB),VIKING ROSE (IRE),Lucy Wadham,62,,,,,,,,,,,
SIERRA VISTA (IRE),2020,GELDING,ALMANZOR (FR),JUST GORGEOUS (IRE),Ed Dunlop,55,,,,,,,,,,,
SIGHT NOR SEEN (IRE),2014,GELDING,MOROZOV (USA),BABY CAT (IRE),Mike Sowersby,,,,,,,,,,95,,
SIGMUND (IRE),2020,COLT,AWTAAD (IRE),INTERIM PAYMENT (USA),,73,,,,,,,,,,,
SIGN OF WAR (IRE),2014,GELDING,OSCAR (IRE),IRISH WEDDING (IRE),,,,,,,,,,,85,,
SIGNAL TWENTY NINE (GB),2017,GELDING,GREGORIAN (IRE),BEACON LADY (GB),Alexandra Dunn,53,,,,,,,,,,,
SIGNCASTLE CITY (IRE),2020,COLT,DARK ANGEL (IRE),UAE QUEEN (GB),Richard Hannon,87,,,,,,,,,,,
SIGNIFICANTLY (GB),2018,GELDING,GARSWOOD (GB),ROSEBRIDE (GB),Julie Camacho,88,,,,,,,,,,,
SIGNORA CAMACHO (IRE),2020,FILLY,CAMACHO (GB),ITTASAL (GB),John Quinn,81,,,,,,,,,,,
SIGNORINA MERISI (GB),2019,FILLY,CARAVAGGIO (USA),NOVALINA (IRE),,72,,,,,,,,,,,
SIGURD (GER),2012,GELDING,SHOLOKHOV (IRE),SKY NEWS (GER),Joanne Foster,,,,,,,94,,,,,
SIKORSKY (GB),2019,COLT,DUBAWI (IRE),HOYAM (GB),,68,,,,,,,,,,,
SILASTAR (GB),2017,GELDING,SEA THE STARS (IRE),SILASOL (IRE),Gary Moore,64,,,,,,,,,,,
SILENT FLAME (GB),2018,FILLY,AL KAZEEM (GB),BURNT FINGERS (IRE),Rod Millman,77,,,,,,,,,,,
SILENT MONARCH (IRE),2019,FILLY,NO NAY NEVER (USA),CAUSEWAY QUEEN (IRE),,86,,,,,,,,,,,
SILENT QUEEN (IRE),2018,FILLY,GUTAIFAN (IRE),GOLD HUSH (USA),,75,,,,,,,,,,,
SILENT REVOLUTION (IRE),2016,GELDING,SHOLOKHOV (IRE),WATSON RIVER (IRE),Paul Nicholls,,,,,,,133,,,133,,
SILENT SPEECH (GB),2019,GELDING,DUBAWI (IRE),EPITOME (IRE),,99,,,,,,,,,,,
SILK BIRD (GB),2020,FILLY,FREE EAGLE (IRE),ORGANZA (GB),Jedd O'Keeffe,73,,,,,,,,,,,
SILKEN MOONLIGHT (GB),2014,FILLY,AQLAAM (GB),SILK (IRE),Stuart Coltherd,,,,,,,85,,,80,,
SILKEN PETALS (GB),2019,FILLY,PASTORAL PURSUITS (GB),SUPER MIDGE (GB),,82,,,,,,,,,,,
SILKS GRAPHITE (GB),2020,GELDING,BRAZEN BEAU (AUS),ZIA (GER),Darryll Holland,62,,,,,,,,,,,
SILKS PASS (GB),2019,COLT,EXCELEBRATION (IRE),JADWIGA (GB),,67,,,,,,,,,,,
SILKSTONE (IRE),2016,GELDING,ALHEBAYEB (IRE),FINE SILK (USA),Danny Brooke,,,,,,,,,,88,,
SILKY SMOOTH (IRE),2020,COLT,SMOOTH DADDY (USA),ANBELLA (FR),,64,,,,,,,,,,,
SILKY WILKIE (IRE),2019,GELDING,MEHMAS (IRE),VASONI (IRE),K. R. Burke,94,,,,,,,,,,,
SILVER ATOM (IRE),2018,GELDING,VADAMOS (FR),DALAWAY (IRE),Ben Pauling,,,,,,,,,,89,,
SILVER BUBBLE (GB),2018,FILLY,MAYSON (GB),SKYRIDER (IRE),Gay Kelleway,61,,,,,,,,,,,
SILVER BULLET LADY (IRE),2019,FILLY,DECORATED KNIGHT (GB),LOST ICON (IRE),,73,,,,,,,,,,,
SILVER COIN (IRE),2017,FILLY,FAIRLY RANSOM (USA),HAYESTOWN LADY (IRE),Ruth Jefferson,,,,,,,,,,84,,
SILVER DIVA (GB),2018,FILLY,HELLVELYN (GB),HEARTSONG (IRE),John Gallagher,45,,,,,,,,,,,
SILVER DOLLAR (IRE),2018,GELDING,MARKAZ (IRE),BUNDITTEN (IRE),,58,,,,,,,,,,,
SILVER DUST (IRE),2016,GELDING,CLODOVIL (IRE),SILESIAN (IRE),,56,,,,,,,,,,,
SILVER FLYER (GB),2016,GELDING,MALINAS (GER),SILVER GYPSY (IRE),Donald McCain,,,,,,,126,,,126,,
SILVER GUNN (IRE),2018,GELDING,LOPE DE VEGA (IRE),CLABA DI SAN JORE (IRE),Marco Botti,82,,,,,,,,,,,
SILVER HALLMARK (GB),2014,GELDING,SHIROCCO (GER),GAYE SOPHIE (GB),Fergal O'Brien,,,,,,,137,-1,collateral,,,
SILVER IN DISGUISE (GB),2014,GELDING,SULAMANI (IRE),SILVER SPINNER (GB),Tim Vaughan,,,,,,,115,,,,,
SILVER KITTEN (GB),2019,FILLY,BOBBY'S KITTEN (USA),ARGENTERIE (GB),,58,,,,,,,,,,,
SILVER KNOTT (GB),2020,COLT,LOPE DE VEGA (IRE),GOD GIVEN (GB),Charlie Appleby,115,,,,,,,,,,,
SILVER NIGHTFALL (GB),2020,FILLY,ADAAY (IRE),GODZILLA'S GIRL (GB),Gay Kelleway,70,,,,,,,,,,,
SILVER SAMURAI (GB),2017,GELDING,CABLE BAY (IRE),HIGH TAN (GB),Marco Botti,99,,,,,,,,,,,
SILVER SCREEN (GB),2019,FILLY,LOPE DE VEGA (IRE),SILVER MIRAGE (GB),Jack Jones,74,,,,,,,,,,,
SILVER SHADE (FR),2018,GELDING,KENDARGENT (FR),LADY'S SECRET (IRE),Milton Harris,,,,,,,,,,117,,
SILVER SHEEN (GB),2014,GELDING,SULAMANI (IRE),SILVER GYPSY (IRE),Fergal O'Brien,,,,,,,125,,,130,,
SILVER VISION (GB),2019,FILLY,MUHAARAR (GB),SURREALISM (GB),Stuart Coltherd,50,,,,,,,,,105,,
SILVERDALE (GB),2019,FILLY,HELLVELYN (GB),SILVALA DANCE (GB),,52,,,,,,,,,,,
SILVERLODE (IRE),2020,GELDING,GUTAIFAN (IRE),FREEDOM PASS (USA),Brian Ellison,62,,,,,,,,,,,
SILVERSCAPE (GB),2019,GELDING,CITYSCAPE (GB),MISS MINUTY (GB),Roger Teal,78,,,,,,,,,,,
SIMON THE GREAT (GB),2013,GELDING,GREAT PALM (USA),MISS ROYELLO (GB),Ella Pickard,,,,,,,82,,,,,
SIMPLE MAN (IRE),2020,COLT,INVINCIBLE SPIRIT (IRE),LETHAL QUALITY (USA),Henry Candy,79,,,,,,,,,,,
SIMPLE STAR (IRE),2018,GELDING,SEA THE STARS (IRE),SIMPLE ELEGANCE (USA),Dianne Sayer,64,,,,,,,,,105,,
SIMPLY GORGEOUS (GB),2019,FILLY,TIME TEST (GB),LEAP OF JOY (IRE),Phil McEntee,56,,,,,,,,,,,
SIMPLY RED (GB),2018,FILLY,PROCONSUL (GB),SSAFA (GB),,,,,,,,,,,104,,
SIMPLY SIN (IRE),2015,GELDING,FOOTSTEPSINTHESAND (GB),MISS SALLY (IRE),Neil Mulholland,57,,,,,,,,,,,
SIMPLY SONDHEIM (IRE),2019,GELDING,PIVOTAL (GB),FINISHINGTHEHAT (GB),George Boughey,87,,,,,,,,,,,
SIMPLY THE BETTS (IRE),2013,GELDING,ARCADIO (GER),CRIMSON FLOWER (IRE),Paul Nicholls,,,,,,,144,,,,,
SIMPLY TRUE (IRE),2017,GELDING,CAMACHO (GB),FAUSSEMENT SIMPLE (IRE),D. J. Jeffreys,,,,,,,,,,76,,
SIMULATION THEORY (IRE),2018,GELDING,STARSPANGLEDBANNER (AUS),BARAWIN (IRE),Declan Carroll,67,,,,,,,,,,,
SINCE DAY ONE (IRE),2016,GELDING,FAME AND GLORY (GB),COLLOU (IRE),Donald McCain,,,,,,,139,,,,,
SINDABELLA (FR),2016,FILLY,SINNDAR (IRE),FIGARELLA GAUGAIN (FR),Nigel Hawke,,,,,,,86,,,86,,
SINGAPORE FLYER (GB),2019,FILLY,EXCEED AND EXCEL (AUS),MISS MARINA BAY (GB),,42,,,,,,,,,,,
SINGAPORE SAGA (GB),2015,FILLY,MIDNIGHT LEGEND (GB),KIM TIAN ROAD (IRE),J. Heard,,,,,,,111,,,,,
SINGE ANGLAIS (IRE),2017,GELDING,FOOTSTEPSINTHESAND (GB),CALLANISH (GB),,56,,,,,,,,,,,
SINGING THE BLUES (IRE),2015,GELDING,SIR PRANCEALOT (IRE),ATISHOO (IRE),,73,,,,,,,,,,,
